,test,style,body,color,fuel,model_date,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,vehicle_title,description,features,ownership,price
22,0,218i ,седан,чёрный,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport,"[Гидроусилитель, Климат многозонный, Руля, Зеркал, Зеркал, Бортовой компьютер, Круиз-контроль, Парктроник задний, Датчик света, Датчик дождя, Центральный замок, Фронтальные, Шторки, Антиблокировочная система тормозов (ABS), USB, AUX, Bluetooth, Светодиодные, Противотуманные, Есть сервисная книжка]",,2481745
23,0,218i ,седан,серый,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport,"[Гидроусилитель, Климат многозонный, Руля, Зеркал, Зеркал, Бортовой компьютер, Круиз-контроль, Парктроник задний, Датчик света, Датчик дождя, Центральный замок, Фронтальные, Шторки, Антиблокировочная система тормозов (ABS), USB, AUX, Bluetooth, Светодиодные, Противотуманные, Есть сервисная книжка]",,2481745
24,0,218i ,седан,серый,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport Pro,"[Есть сервисная книжка, На гарантии]",,2270000
25,0,20i xDrive Steptronic ,внедорожник,белый,бензин,2019,5,2020,автоматческая,2.0,192,0,полный,Левый,Новый,0,,M Sport,"[Есть сервисная книжка, На гарантии]",,2460000
26,0,218i ,седан,белый,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,Base,"[Климат многозонный, Велюр, Кожаный руль, Передних сидений, Зеркал, Руля, Только передние, Зеркал, Круиз-контроль, Бортовой компьютер, Парктроник передний, Парктроник задний, Датчик света, Датчик дождя, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Фронтальные, Шторки, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, Адаптивное освещение, 18""]",,2348640
27,0,218i ,седан,серый,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,Base,"[Климат многозонный, Велюр, Кожаный руль, Передних сидений, Зеркал, Руля, Только передние, Зеркал, Круиз-контроль, Бортовой компьютер, Парктроник передний, Парктроник задний, Датчик света, Датчик дождя, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Фронтальные, Шторки, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, Адаптивное освещение, 18""]",,2387070
28,0,218i ,седан,серый,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,Base,"[Климат многозонный, Велюр, Кожаный руль, Передних сидений, Зеркал, Руля, Только передние, Зеркал, Круиз-контроль, Бортовой компьютер, Парктроник передний, Парктроник задний, Датчик света, Датчик дождя, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Фронтальные, Шторки, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, Адаптивное освещение, 18""]",,2348640
29,0,20i xDrive Steptronic ,внедорожник,синий,бензин,2019,5,2020,автоматческая,2.0,192,0,полный,Левый,Новый,0,,Advantage,"[Кожа, Кожаный руль, Передних сидений, Руля, Зеркал, Передние и задние, Зеркал, Автоматический парковщик, Датчик дождя, Датчик света, Камера заднего вида, Круиз-контроль, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), CD/DVD/Blu-ray, Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, 17""]",,2810000
30,0,20i xDrive Steptronic ,внедорожник,белый,бензин,2019,5,2020,автоматческая,2.0,192,0,полный,Левый,Новый,0,,Advantage,"[Кожа, Кожаный руль, Передних сидений, Руля, Зеркал, Передние и задние, Зеркал, Автоматический парковщик, Датчик дождя, Датчик света, Камера заднего вида, Круиз-контроль, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), CD/DVD/Blu-ray, Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, 17""]",,2810000
31,0,20i xDrive Steptronic ,внедорожник,серый,бензин,2019,5,2020,автоматческая,2.0,192,0,полный,Левый,Новый,0,,Advantage,"[Кожа, Кожаный руль, Передних сидений, Руля, Зеркал, Передние и задние, Зеркал, Автоматический парковщик, Датчик дождя, Датчик света, Камера заднего вида, Круиз-контроль, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), CD/DVD/Blu-ray, Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, 17""]",,2810000
